resp,mod,modlvl,est
bio,cc_type2,modgrass,-1.2144779294679806
bio,cc_type2,modnon-grass,-0.17914138683861722
bio,cc_type2,modgrass,-1.2529454766620098
bio,cc_type2,modnon-grass,-0.17079053733900285
bio,cc_type2,modgrass,-1.276330538999901
bio,cc_type2,modnon-grass,-0.1355371051302558
bio,cc_type2,modgrass,-1.1422681526793186
bio,cc_type2,modnon-grass,-0.06989732776942317
bio,cc_type2,modgrass,-1.0282640151653337
bio,cc_type2,modnon-grass,-0.20055872326840024
bio,cc_type2,modgrass,-1.2062480134929523
bio,cc_type2,modnon-grass,-0.1239523003585719
bio,cc_type2,modgrass,-1.3685113050842335
bio,cc_type2,modnon-grass,-0.3291851913771624
bio,cc_type2,modgrass,-1.1180951015622962
bio,cc_type2,modnon-grass,0.16246519090999922
bio,cc_type2,modgrass,-1.2802391136896578
bio,cc_type2,modnon-grass,-0.2949233893941754
bio,cc_type2,modgrass,-1.025240076772851
bio,cc_type2,modnon-grass,-0.23257760206284855
bio,cc_type2,modgrass,-1.2977295370590831
bio,cc_type2,modnon-grass,-0.1883820148768586
bio,cc_type2,modgrass,-1.1808891254661615
bio,cc_type2,modnon-grass,-0.28516408902545415
bio,cc_type2,modgrass,-1.4191813760082845
bio,cc_type2,modnon-grass,-0.8959704520420887
bio,cc_type2,modgrass,-0.8286463162327055
bio,cc_type2,modnon-grass,-0.010207890538105653
bio,cc_type2,modgrass,-1.1680002063512849
bio,cc_type2,modnon-grass,-0.3552344308836385
bio,cc_type2,modgrass,-1.4761716064459622
bio,cc_type2,modnon-grass,-0.1528967737379077
bio,cc_type2,modgrass,-1.3146751156194618
bio,cc_type2,modnon-grass,-0.49886120841136916
bio,cc_type2,modgrass,-1.0242329580832994
bio,cc_type2,modnon-grass,-0.18459507729612276
bio,cc_type2,modgrass,-1.1122783526310065
bio,cc_type2,modnon-grass,0.0805741200700856
bio,cc_type2,modgrass,-1.5880787077047298
bio,cc_type2,modnon-grass,-0.3683697454273025
bio,cc_type2,modgrass,-0.8930300875439241
bio,cc_type2,modnon-grass,-0.2667150655082884
bio,cc_type2,modgrass,-1.534794863894799
bio,cc_type2,modnon-grass,-0.43603892867656546
bio,cc_type2,modgrass,-1.182402559420831
bio,cc_type2,modnon-grass,0.11083896347856655
bio,cc_type2,modgrass,-1.2406670898647019
bio,cc_type2,modnon-grass,-0.3888076171006785
bio,cc_type2,modgrass,-1.0760638846573876
bio,cc_type2,modnon-grass,-0.054420861170271305
bio,cc_type2,modgrass,-1.018744975785645
bio,cc_type2,modnon-grass,-0.24244350160793038
bio,cc_type2,modgrass,-0.7109645930442007
bio,cc_type2,modnon-grass,0.1631529101239264
bio,cc_type2,modgrass,-0.8998109725872325
bio,cc_type2,modnon-grass,-0.16337769736401875
bio,cc_type2,modgrass,-1.3970445369023603
bio,cc_type2,modnon-grass,-0.5038686001258424
bio,cc_type2,modgrass,-1.2193140897474757
bio,cc_type2,modnon-grass,-0.24203661656659178
bio,cc_type2,modgrass,-1.064698075507438
bio,cc_type2,modnon-grass,0.12710985401490582
bio,cc_type2,modgrass,-1.4021810944096664
bio,cc_type2,modnon-grass,-0.8283246833294498
bio,cc_type2,modgrass,-1.2351233383910245
bio,cc_type2,modnon-grass,0.05352886390865854
bio,cc_type2,modgrass,-1.1450121740523391
bio,cc_type2,modnon-grass,-0.4632060994965412
bio,cc_type2,modgrass,-1.0620107576560174
bio,cc_type2,modnon-grass,0.02040803558984506
bio,cc_type2,modgrass,-1.319619284700819
bio,cc_type2,modnon-grass,-0.1666970365905893
bio,cc_type2,modgrass,-1.4975627679129198
bio,cc_type2,modnon-grass,-0.309697016021996
bio,cc_type2,modgrass,-0.9882356509973398
bio,cc_type2,modnon-grass,-0.002701032329434187
bio,cc_type2,modgrass,-1.2108241689519212
bio,cc_type2,modnon-grass,-0.2526408958918376
bio,cc_type2,modgrass,-0.9890465073562138
bio,cc_type2,modnon-grass,-0.3707227170460546
bio,cc_type2,modgrass,-1.4096726451664174
